#   frequency            amplitude spectral density
   1.2763232e-02   1.4951358e-04
   1.2839203e-02   1.4938785e-04
   1.2915175e-02   1.4926180e-04
   1.2991147e-02   1.4913548e-04
   1.3067118e-02   1.4900894e-04
   1.3143090e-02   1.4888223e-04
   1.3219062e-02   1.4875542e-04
   1.3295033e-02   1.4862856e-04
   1.3371005e-02   1.4850173e-04
   1.3446976e-02   1.4837499e-04
   1.3522948e-02   1.4824842e-04
   1.3598920e-02   1.4812210e-04
   1.3674891e-02   1.4799612e-04
   1.3750863e-02   1.4787056e-04
   1.3826834e-02   1.4774553e-04
   1.3902806e-02   1.4762113e-04
   1.3978778e-02   1.4749745e-04
   1.4054749e-02   1.4737464e-04
   1.4130721e-02   1.4725279e-04
   1.4206693e-02   1.4713205e-04
   1.4282664e-02   1.4701256e-04
   1.4358636e-02   1.4689446e-04
   1.4434607e-02   1.4677792e-04
   1.4510579e-02   1.4666309e-04
   1.4586551e-02   1.4655015e-04
   1.4662522e-02   1.4643931e-04
   1.4738494e-02   1.4633074e-04
   1.4814466e-02   1.4622468e-04
   1.4890437e-02   1.4612134e-04
   1.4966409e-02   1.4602097e-04
   1.5042380e-02   1.4592382e-04
   1.5118352e-02   1.4583016e-04
   1.5194324e-02   1.4574029e-04
   1.5270295e-02   1.4565451e-04
   1.5346267e-02   1.4557315e-04
   1.5422238e-02   1.4549655e-04
   1.5498210e-02   1.4542508e-04
   1.5574182e-02   1.4535915e-04
   1.5650153e-02   1.4529915e-04
   1.5726125e-02   1.4524555e-04
   1.5802097e-02   1.4519882e-04
   1.5878068e-02   1.4515945e-04
   1.5954040e-02   1.4512798e-04
   1.6030011e-02   1.4510499e-04
   1.6105983e-02   1.4509108e-04
   1.6181955e-02   1.4508689e-04
   1.6257926e-02   1.4509313e-04
   1.6333898e-02   1.4511050e-04
   1.6409870e-02   1.4513981e-04
   1.6485841e-02   1.4518188e-04
   1.6561813e-02   1.4523760e-04
   1.6637784e-02   1.4530791e-04
   1.6713756e-02   1.4539382e-04
   1.6789728e-02   1.4549639e-04
   1.6865699e-02   1.4561679e-04
   1.6941671e-02   1.4575622e-04
   1.7017642e-02   1.4591599e-04
   1.7093614e-02   1.4609748e-04
   1.7169586e-02   1.4630217e-04
   1.7245557e-02   1.4653166e-04
   1.7321529e-02   1.4678761e-04
   1.7397501e-02   1.4707183e-04
   1.7473472e-02   1.4738624e-04
   1.7549444e-02   1.4773289e-04
   1.7625415e-02   1.4811397e-04
   1.7701387e-02   1.4853182e-04
   1.7777359e-02   1.4898894e-04
   1.7853330e-02   1.4948798e-04
   1.7929302e-02   1.5003181e-04
   1.8005273e-02   1.5062346e-04
   1.8081245e-02   1.5126619e-04
   1.8157217e-02   1.5196348e-04
   1.8233188e-02   1.5271905e-04
   1.8309160e-02   1.5353687e-04
   1.8385132e-02   1.5442119e-04
   1.8461103e-02   1.5537657e-04
   1.8537075e-02   1.5640788e-04
   1.8613046e-02   1.5752031e-04
   1.8689018e-02   1.5871946e-04
   1.8764990e-02   1.6001129e-04
   1.8840961e-02   1.6140221e-04
   1.8916933e-02   1.6289907e-04
   1.8992905e-02   1.6450924e-04
   1.9068876e-02   1.6624062e-04
   1.9144848e-02   1.6810167e-04
   1.9220819e-02   1.7010152e-04
   1.9296791e-02   1.7224995e-04
   1.9372763e-02   1.7455752e-04
   1.9448734e-02   1.7703559e-04
   1.9524706e-02   1.7969642e-04
   1.9600677e-02   1.8255325e-04
   1.9676649e-02   1.8562039e-04
   1.9752621e-02   1.8891335e-04
   1.9828592e-02   1.9244898e-04
   1.9904564e-02   1.9624555e-04
   1.9980536e-02   2.0032300e-04
   2.0056507e-02   2.0470309e-04
   2.0132479e-02   2.0940960e-04
   2.0208450e-02   2.1446864e-04
   2.0284422e-02   2.1990891e-04
   2.0360394e-02   2.2576208e-04
   2.0436365e-02   2.3206318e-04
   2.0512337e-02   2.3885106e-04
   2.0588308e-02   2.4616903e-04
   2.0664280e-02   2.5406546e-04
   2.0740252e-02   2.6259464e-04
   2.0816223e-02   2.7181771e-04
   2.0892195e-02   2.8180384e-04
   2.0968167e-02   2.9263163e-04
   2.1044138e-02   3.0439083e-04
   2.1120110e-02   3.1718442e-04
   2.1196081e-02   3.3113122e-04
   2.1272053e-02   3.4636911e-04
   2.1348025e-02   3.6305903e-04
   2.1423996e-02   3.8139012e-04
   2.1499968e-02   4.0158625e-04
   2.1575940e-02   4.2391435e-04
   2.1651911e-02   4.4869548e-04
   2.1727883e-02   4.7631921e-04
   2.1803854e-02   5.0726309e-04
   2.1879826e-02   5.4211898e-04
   2.1955798e-02   5.8162950e-04
   2.2031769e-02   6.2673936e-04
   2.2107741e-02   6.7866913e-04
   2.2183712e-02   7.3902398e-04
   2.2259684e-02   8.0995809e-04
   2.2335656e-02   8.9443135e-04
   2.2411627e-02   9.9662497e-04
   2.2487599e-02   1.1226438e-03
   2.2563571e-02   1.2817663e-03
   2.2639542e-02   1.4888150e-03
   2.2715514e-02   1.7690239e-03
   2.2791485e-02   2.1691276e-03
   2.2867457e-02   2.7864576e-03
   2.2943429e-02   3.8628252e-03
   2.3019400e-02   6.2107953e-03
   2.3095372e-02   1.5321696e-02
   2.3171344e-02   3.5255998e-02
   2.3247315e-02   8.3403078e-03
   2.3323287e-02   4.7764423e-03
   2.3399258e-02   3.3695947e-03
   2.3475230e-02   2.6167127e-03
   2.3551202e-02   2.1479868e-03
   2.3627173e-02   1.8282095e-03
   2.3703145e-02   1.5962060e-03
   2.3779116e-02   1.4202646e-03
   2.3855088e-02   1.2823055e-03
   2.3931060e-02   1.1712667e-03
   2.4007031e-02   1.0800002e-03
   2.4083003e-02   1.0036818e-03
   2.4158975e-02   9.3893773e-04
   2.4234946e-02   8.8333755e-04
   2.4310918e-02   8.3508624e-04
   2.4386889e-02   7.9282917e-04
   2.4462861e-02   7.5552494e-04
   2.4538833e-02   7.2235976e-04
   2.4614804e-02   6.9268855e-04
   2.4690776e-02   6.6599335e-04
   2.4766747e-02   6.4185352e-04
   2.4842719e-02   6.1992390e-04
   2.4918691e-02   5.9991863e-04
   2.4994662e-02   5.8159895e-04
   2.5070634e-02   5.6476385e-04
   2.5146606e-02   5.4924298e-04
   2.5222577e-02   5.3489093e-04
   2.5298549e-02   5.2158291e-04
   2.5374520e-02   5.0921117e-04
   2.5450492e-02   4.9768225e-04
   2.5526464e-02   4.8691461e-04
   2.5602435e-02   4.7683688e-04
   2.5678407e-02   4.6738625e-04
   2.5754379e-02   4.5850728e-04
   2.5830350e-02   4.5015082e-04
   2.5906322e-02   4.4227316e-04
   2.5982293e-02   4.3483529e-04
   2.6058265e-02   4.2780230e-04
   2.6134237e-02   4.2114285e-04
   2.6210208e-02   4.1482872e-04
   2.6286180e-02   4.0883443e-04
   2.6362151e-02   4.0313694e-04
   2.6438123e-02   3.9771533e-04
   2.6514095e-02   3.9255060e-04
   2.6590066e-02   3.8762543e-04
   2.6666038e-02   3.8292401e-04
   2.6742010e-02   3.7843188e-04
   2.6817981e-02   3.7413576e-04
   2.6893953e-02   3.7002350e-04
   2.6969924e-02   3.6608388e-04
   2.7045896e-02   3.6230661e-04
   2.7121868e-02   3.5868214e-04
   2.7197839e-02   3.5520170e-04
   2.7273811e-02   3.5185712e-04
   2.7349783e-02   3.4864087e-04
